number_data,train_loss,val_loss,mIoU
3,0.23107308149337769,0.9204851984977722,38.60744535923004
6,0.11397406458854675,1.252467155456543,36.75796985626221
9,0.12116517126560211,0.9392136931419373,39.40541744232178
12,0.11154548078775406,0.8267914056777954,41.44695699214935
15,0.10133600234985352,0.7166075110435486,45.73654532432556
18,0.09184466302394867,0.652402400970459,49.55449104309082
21,0.09234493970870972,0.62039715051651,50.59228539466858
24,0.08655897527933121,0.5783481597900391,54.04286980628967
27,0.08647273480892181,0.5339897274971008,59.41908359527588
30,0.09042853862047195,0.5392131805419922,60.808753967285156
33,0.13724996149539948,0.6072565913200378,57.07273483276367
36,0.17859257757663727,0.79552161693573,52.50670313835144
39,0.20235955715179443,0.6153239607810974,55.62404990196228
42,0.2269122302532196,0.6114780306816101,53.830790519714355
45,0.24069616198539734,0.6158613562583923,56.89701437950134
48,0.2693873345851898,0.542387843132019,57.731252908706665
51,0.2321135550737381,0.5745476484298706,59.6393883228302
54,0.2818927466869354,0.5551759004592896,58.79634618759155
57,0.28670430183410645,0.5919229388237,58.05318355560303
60,0.2976147532463074,0.6196025609970093,53.82577180862427
63,0.3143172264099121,0.5823156833648682,53.31225395202637
66,0.21216362714767456,0.6370039582252502,54.845744371414185
69,0.204803466796875,0.4630486071109772,64.815753698349
72,0.22092773020267487,0.5200310349464417,59.04974341392517
75,0.18593111634254456,0.4754469692707062,64.41594362258911
78,0.20858199894428253,0.5369813442230225,57.65101909637451
81,0.20683792233467102,0.5665380954742432,56.37117028236389
84,0.20300203561782837,0.8039637804031372,52.22459435462952
87,0.2376367449760437,0.49981817603111267,60.629427433013916
90,0.25897544622421265,0.5966082811355591,56.937724351882935
93,0.26469820737838745,0.46156004071235657,62.506645917892456
96,0.21451985836029053,0.4721575379371643,63.45999240875244
99,0.19956377148628235,0.4931720197200775,63.35134506225586
102,0.19858741760253906,0.41417890787124634,66.26331210136414
105,0.1997515857219696,0.4278961420059204,66.51338338851929
108,0.19371914863586426,0.47265180945396423,63.94742131233215
111,0.22486728429794312,0.4265138804912567,65.20183086395264
114,0.20422445237636566,0.40988412499427795,67.72329807281494
117,0.20429137349128723,0.524314284324646,61.99139952659607
120,0.19175958633422852,0.5469475984573364,60.14578342437744
123,0.21330033242702484,0.42532768845558167,66.6281521320343
126,0.22420981526374817,0.41838276386260986,67.70775318145752
129,0.19799992442131042,0.3975386321544647,70.72247862815857
132,0.1781238466501236,0.4334372878074646,66.12040400505066
135,0.18936938047409058,0.505878210067749,62.38495111465454
138,0.17832599580287933,0.530301034450531,64.44908380508423
141,0.1773461103439331,0.4684368073940277,66.34073257446289
144,0.21046923100948334,0.41250720620155334,69.50230002403259
147,0.2353699952363968,0.46086135506629944,66.20716452598572
150,0.17852729558944702,0.416869580745697,68.31027865409851
153,0.22100606560707092,0.45354628562927246,67.04537868499756
156,0.192541241645813,0.6596454381942749,57.49751925468445
159,0.23760242760181427,0.4043406844139099,68.31918954849243
162,0.18898330628871918,0.445174902677536,67.73080825805664
165,0.1759616583585739,0.597568929195404,58.1728994846344
168,0.20881488919258118,0.4925737977027893,63.39937448501587
171,0.18997560441493988,0.4459711015224457,66.07197523117065
174,0.19976460933685303,0.41122278571128845,69.21148300170898
177,0.17078712582588196,0.43000760674476624,67.8626537322998
180,0.18529324233531952,0.5352709293365479,61.66132092475891
183,0.19329702854156494,0.38209348917007446,70.93566656112671
